label,desc,thr,n,n_pos,pred_pos,tp,fp,fn,prevalence,alert_rate,ppv,ppv_lo,ppv_hi,recall,rec_lo,rec_hi,f1,baseline_ppv,baseline_recall,baseline_f1,op
R1011,,,7211,56.0,120.0,3,117,52,0.007706319181729,0.01664124254611011,0.025,0.008538174769902228,0.0709300333278661,0.05357142857142857,0.018385781382109126,0.14607309068821533,0.034090909090909095,0.007706319181729,0.01664124254611011,0.01053433835177506,ppv30
F1010,,,7211,54.0,4.0,1,3,52,0.0074260893933025,0.000554708084870337,0.25,0.04558726080970055,0.6993581574175981,0.018518518518518517,0.003276487718229061,0.09771437488781931,0.034482758620689655,0.0074260893933025,0.000554708084870337,0.0010323058157285425,ppv30
I200,,,7211,42.0,68.0,6,62,36,0.0058848255569567,0.00943003744279573,0.08823529411764706,0.04106811531448934,0.17943769123145112,0.14285714285714285,0.06715967015962647,0.27841089474444775,0.10909090909090909,0.0058848255569567,0.00943003744279573,0.00724709393055883,ppv30
E109,,,7211,40.0,120.0,3,117,37,0.0056045957685301,0.01664124254611011,0.025,0.008538174769902228,0.0709300333278661,0.075,0.025836025774588198,0.19864233524310543,0.0375,0.0056045957685301,0.01664124254611011,0.008385158269862237,ppv30
M7960,,,7211,45.0,782.0,12,770,33,0.0063051702395964,0.10844543059215088,0.015345268542199489,0.008799568014448868,0.026629281543164927,0.26666666666666666,0.1596490352106652,0.4103883775313494,0.02902055622732769,0.0063051702395964,0.10844543059215088,0.011917443510250859,ppv30
R110,,,7211,46.0,281.0,4,277,42,0.0064452851338097,0.03896824296214117,0.014234875444839857,0.005549220543038051,0.036022883706534156,0.08695652173913043,0.03433586789472588,0.2032466407411883,0.024464831804281346,0.0064452851338097,0.03896824296214117,0.011061084552775225,ppv30
R9431,,,7211,35.0,885.0,11,874,24,0.0049040212974639,0.12272916377756206,0.012429378531073447,0.006954323282201409,0.02211886920251945,0.3142857142857143,0.18550844674265818,0.4797976361206918,0.023913043478260874,0.0049040212974639,0.12272916377756206,0.009431190369985788,ppv30
I2699,,,7211,54.0,196.0,3,193,50,0.0074260893933025,0.027180696158646513,0.015306122448979591,0.005218879779228865,0.04402745218196985,0.05555555555555555,0.0190732684546909,0.15107214318166143,0.024,0.0074260893933025,0.027180696158646513,0.011665127299575799,ppv30
S0990,,,7211,60.0,80.0,4,76,55,0.008266778758582,0.01109416169740674,0.05,0.01961355453554428,0.1216227620464301,0.06666666666666667,0.026228698724506214,0.1592535731319717,0.05714285714285715,0.008266778758582,0.01109416169740674,0.009474021210165681,ppv30
M545,,,7211,46.0,78.0,1,77,45,0.0064452851338097,0.010816807654971571,0.01282051282051282,0.0022667317538337325,0.06910857001702223,0.021739130434782608,0.0038478542580502872,0.11335294521511355,0.01612903225806452,0.0064452851338097,0.010816807654971571,0.00807751533107005,ppv30
G4090,,,7211,51.0,754.0,13,741,37,0.0070057447106627,0.10456247399805853,0.017241379310344827,0.010103207304669432,0.029273707844749225,0.2549019607843137,0.15545768156582296,0.3886828183844375,0.03229813664596274,0.0070057447106627,0.10456247399805853,0.01313166074755019,ppv30
M549,,,7211,54.0,2173.0,24,2149,29,0.0074260893933025,0.30134516710581055,0.011044638748274275,0.0074331614347430885,0.016381829138240243,0.4444444444444444,0.3200246417222966,0.5762435347322474,0.02155365963179165,0.0074260893933025,0.30134516710581055,0.014494977120215575,ppv30
E871,,,7211,44.0,959.0,8,951,36,0.0061650553453832,0.13299126334766329,0.008342022940563087,0.004232979457495939,0.01637421255623009,0.18181818181818182,0.09512805715627728,0.3196055088718468,0.015952143569292126,0.0061650553453832,0.13299126334766329,0.011783848648645604,ppv30
J449,,,7211,48.0,195.0,4,191,44,0.0067255149222362,0.027042019137428926,0.020512820512820513,0.008005250618458155,0.051547012229161554,0.08333333333333333,0.032883756818091775,0.1955330179036728,0.03292181069958848,0.0067255149222362,0.027042019137428926,0.010771974223218048,ppv30
Y9289,,,7211,38.0,83.0,4,79,34,0.0053243659801036,0.011510192761059492,0.04819277108433735,0.01889861550329229,0.1174585920045154,0.10526315789473684,0.04170257347553526,0.24130521722887316,0.06611570247933884,0.0053243659801036,0.011510192761059492,0.007280794192908649,ppv30
F1012,,,7211,51.0,316.0,20,296,30,0.0070057447106627,0.04382193870475662,0.06329113924050633,0.041341409649183786,0.09573106051257854,0.39215686274509803,0.27027340981759806,0.5291484101605165,0.10899182561307902,0.0070057447106627,0.04382193870475662,0.012080240320325092,ppv30
F0390,,,7211,43.0,865.0,22,843,21,0.0060249404511699,0.11995562335321037,0.025433526011560695,0.016854991614773735,0.03820851661793749,0.5116279069767442,0.3675230846944931,0.6538255245328142,0.048458149779735685,0.0060249404511699,0.11995562335321037,0.011473603001305654,ppv30
M2551,,,7211,41.0,,0,72,41,0.0057447106627434,,0.0,0.0,0.05065117259645781,0.0,0.0,0.08566757018443186,,0.0057447106627434,,,ppv30
R209,,,7211,39.0,70.0,1,69,38,0.0054644808743169,0.009707391485230898,0.014285714285714285,0.002526246457890312,0.07658187131208327,0.02564102564102564,0.004540703100990098,0.13180990169850076,0.01834862385321101,0.0054644808743169,0.009707391485230898,0.006992657709405093,ppv30
